usage_id,object_id,entity_type,entity_id,usage_type,field_name,sort_order,is_primary,metadata
4102a20b-090f-502d-8bc2-9b1eb67ede13,16a05965-82d5-5ad3-8181-a14c9423a21f,chemistry_element,1,image,bohr_model,0,true,"{""symbol"":""h""}"
48fdccf6-b174-5c9f-bfc6-fa6830a47a1a,2d267557-5a2f-5deb-867f-6a6f182bb657,chemistry_element,1,image,spectral,0,true,"{""symbol"":""h""}"
d52b3f6f-484b-5be4-a1b8-20ebd671749c,09278e71-c0ca-511e-8b4d-f05da49fa101,chemistry_element,1,model,bohr_model_3d,0,true,"{""symbol"":""h""}"
b4d9301a-c9e1-581e-b099-3ea5a80c91c8,2b5e2377-a474-5841-b882-0878ff8e4b2f,chemistry_element,1,image,sample,1,true,"{""symbol"":""h"",""title"":""Флакон со светящимся сверхчистым водородом H2. Оригинальный размер в см: 1 х 5"",""attribution"":""Пользователь: Юрий, через Wikimedia Commons."",""source_url"":""https://images-of-elements.com/hydrogen.php"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""license"":""CC BY 3.0""}"
9c012a21-cab7-5c1a-b65b-d604d5f58ffa,dd938dfc-5eba-541a-9b17-d1d0393ab752,chemistry_element,2,image,bohr_model,0,true,"{""symbol"":""he""}"
1a3ce997-9c3e-5414-8703-cdceef3b2aa3,d66f7fd7-d6de-5983-b125-0713f6401398,chemistry_element,2,image,spectral,0,true,"{""symbol"":""he""}"
d202b6d0-b7e2-58bd-a94e-284d858b5451,04817006-740e-5e26-9d63-91150bface62,chemistry_element,2,model,bohr_model_3d,0,true,"{""symbol"":""he""}"
a4a75e03-38bc-588e-80c9-53bfdaaf3222,b02d16f6-212f-5a4a-a7db-bfb1cdc1874e,chemistry_element,2,image,sample,1,true,"{""symbol"":""he"",""title"":""Флакон со светящимся сверхчистым гелием. Оригинальный размер в см: 1 х 5"",""attribution"":""Юрий, через Wikimedia Commons."",""source_url"":""https://images-of-elements.com/helium.php"",""license_url"":""https://creativecommons.org/licenses/by/3.0"",""license"":""CC BY 3.0""}"
36490fdb-6906-51e7-9caa-6945ec17e4ea,000a8c26-f3e5-5a39-9bec-759382e386f0,chemistry_element,3,image,bohr_model,0,true,"{""symbol"":""li""}"
287ee21e-4919-5a75-a6f7-44b1a3a682ec,05c394f5-33c3-5ce7-b92f-973625bb851a,chemistry_element,3,image,spectral,0,true,"{""symbol"":""li""}"
