object_id,storage_key,bucket_name,media_family,content_type,byte_size,file_hash,source_kind,metadata
f4f7f1e2-1b3a-5a47-af96-e4d8d4931cd2,chemistry/elements/ac/089-ac-actinium-bohr.webp,media,chemistry-media,image/webp,2060,1cbc24763784fae3dfca51aa4d5e386e9295efaea30bac2c8d75bb7899be520e,seed,"{""seed_origin"":""s3-seed""}"
58a225f9-2368-52f7-9f13-8b1bb3cf2c0c,chemistry/elements/ac/089-ac-actinium-model.glb,media,chemistry-media,model/gltf-binary,3459000,c93d29d2d88b7ba666384ad128726ee61ce125a4decbb373c3ebce54b7f06615,seed,"{""seed_origin"":""s3-seed""}"
fb36bb43-53d7-5f93-8e83-33b934e75cc2,chemistry/elements/ac/089-ac-actinium-spectral.webp,media,chemistry-media,image/webp,6654,d03ba723046b83423a75839d4448f1d8c8f15a8b4937582ccfd92dfc17e05da8,seed,"{""seed_origin"":""s3-seed""}"
9bea3965-caa3-5162-a670-dded58781c2a,chemistry/elements/ac/samples/sample-1.webp,media,chemistry-media,image/webp,5794,46e7364b64dddc29987f3861f1fcf6d5f36e56d67ed615e6c41fe1ffebe91389,seed,"{""seed_origin"":""s3-seed""}"
54264bcc-d9da-5756-996a-616b94871c8c,chemistry/elements/ag/047-ag-silver-bohr.webp,media,chemistry-media,image/webp,1958,b17dcb3ef65a402431808636bf4fb9d86e22d2c7cd05bcef8d4efa2bbfd1aac8,seed,"{""seed_origin"":""s3-seed""}"
0e83f114-170b-5cfe-b8ba-86e09bebd2e3,chemistry/elements/ag/047-ag-silver-model.glb,media,chemistry-media,model/gltf-binary,2352092,83290df3d9577170df1148da6f758844613c1aa8ca1d7c145a36893f9a3d019e,seed,"{""seed_origin"":""s3-seed""}"
0861a003-a84a-5f6a-af68-2c56db4ed1e6,chemistry/elements/ag/047-ag-silver-spectral.webp,media,chemistry-media,image/webp,3528,bf267299be41168ac384b177b90a0d97aa2e87ff683e2a6b5de1bc1afb4f5c5a,seed,"{""seed_origin"":""s3-seed""}"
cbe1cae4-4aab-541e-802c-b66d98d7785f,chemistry/elements/ag/samples/sample-1.webp,media,chemistry-media,image/webp,16648,8b36f0eb0d63a188fe1dc6d5a7d3b71c3cb27cd7d15e06b260a58b98c93ecd7b,seed,"{""seed_origin"":""s3-seed""}"
2824811c-6eb4-51ae-acbc-5052241d982a,chemistry/elements/al/013-al-aluminium-bohr.webp,media,chemistry-media,image/webp,1560,18f0a3cf29443d7e808fa4210ce66d7654a028aff6414f19d6afa1f307dcefe3,seed,"{""seed_origin"":""s3-seed""}"
c117d6c6-80c1-5c28-83c9-4e2e5d633ced,chemistry/elements/al/013-al-aluminium-model.glb,media,chemistry-media,model/gltf-binary,1835336,f3ed7063cb1826f3660c512891adf01420fe53af9edceddf1973096a9431ca88,seed,"{""seed_origin"":""s3-seed""}"
a7d49d7d-b5a2-54bc-8036-87cfbcf6d8f9,chemistry/elements/al/013-al-aluminium-spectral.webp,media,chemistry-media,image/webp,7910,e3b6b4a380766421aa0afc69f0d25038daaf30f89c778ebbc2d3ab45de0468af,seed,"{""seed_origin"":""s3-seed""}"
967b826d-44d7-5fc3-bbc0-6cd487fcc3c2,chemistry/elements/al/samples/sample-1.webp,media,chemistry-media,image/webp,355800,be3fdffbb9d63556b5652c8f1b7420eb656d0ae89f67d27ef28479e6a49e7c3a,seed,"{""seed_origin"":""s3-seed""}"
e55d01e5-5747-50ba-8338-d6b744f8d366,chemistry/elements/am/095-am-americium-bohr.webp,media,chemistry-media,image/webp,2122,9ac21b58f0cfe2107c865669a4e88c179d50484b6cc4ce37053108d659500d7a,seed,"{""seed_origin"":""s3-seed""}"
c906627e-4d5e-515d-88de-05e4526a5220,chemistry/elements/am/095-am-americium-model.glb,media,chemistry-media,model/gltf-binary,3586448,f8ef96b563332bc02bf3601b0ad98eef48501fd94b1a0bf1849e8d68fa61bf29,seed,"{""seed_origin"":""s3-seed""}"
0a5c5f02-8e0e-58ac-9ad2-03cf56988c5c,chemistry/elements/am/095-am-americium-spectral.webp,media,chemistry-media,image/webp,3956,b8204565fd9cf42c9a453691fe3d9f24c67132d38940065068eb8775162280ec,seed,"{""seed_origin"":""s3-seed""}"
99925ea8-cac5-5f32-82af-66d19eb76c28,chemistry/elements/am/samples/sample-1.webp,media,chemistry-media,image/webp,40922,ea0d61eb6a094a15400f6fbeb7c07416329d2c086f7e222cb12fc7a4b7acb18a,seed,"{""seed_origin"":""s3-seed""}"
88bf6494-5d5b-56c8-a3f9-15160d64cf17,chemistry/elements/ar/018-ar-argon-bohr.webp,media,chemistry-media,image/webp,1682,9f8e0287daee2dbc834549439863b36cfaf3055de94857dded46edc3f92a030c,seed,"{""seed_origin"":""s3-seed""}"
fd8eba3e-faf6-5c07-82ad-792c3d104694,chemistry/elements/ar/018-ar-argon-model.glb,media,chemistry-media,model/gltf-binary,2321380,3d5046fc3814f6cf557104e51084d988e93908cc405ca0bc3926dfb800e437c9,seed,"{""seed_origin"":""s3-seed""}"
